SKU,Name,Current Category,Suggested Category,Confidence,Reason
300058,Car Body suit 3pieces ชุดบอดี้สูทลายรถ3 ชิ้น,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อสินค้าเป็นชุดหลายชิ้น/เซ็ตเสื้อผ้า
300055,Ralph Lauren Shirt เสื้อยืดคอกลมโปโลสีน้ำเงิน,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,92,ชื่อสินค้าคือเสื้อยืด
300054,Car&Tree Body suit ชุดบอดี้สูทรถและต้นไม้,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อผ้าเด็กอ่อน,93,ชื่อสินค้าคือบอดี้สูท/รอมเปอร์ สำหรับเด็กอ่อน
300053,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีน้ำเงิน,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,92,ชื่อสินค้าคือเสื้อโปโล
300051,Ralph Lauren Shirt เสื้อเชิ้ตโปโลคอปกลายทาง,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,90,ชื่อสินค้าคือเสื้อ
300050,Baby First Favorite Print Footed One-Piece ชุดนอนแขนยาวลายน้องหมี,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดนอน,93,ชื่อสินค้าคือชุดนอน
300049,Car Boys Bodysuit ชุดบอดี้สูทขาสั้นลายรถ,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อผ้าเด็กอ่อน,93,ชื่อสินค้าคือบอดี้สูท/รอมเปอร์ สำหรับเด็กอ่อน
300048,Awesome Mom Collectible Bodysuit ชุดบอดี้สูทขาสั้นลายพิมพ์,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อผ้าเด็กอ่อน,93,ชื่อสินค้าคือบอดี้สูท/รอมเปอร์ สำหรับเด็กอ่อน
300047,2-Way Zip Cotton Sleep & Play ชุดนอนลายน้องหมี,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดนอน,93,ชื่อสินค้าคือชุดนอน
300046,Baby Print Body suit ชุดบอดี้สูทลายหุ่นยนต์,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อผ้าเด็กอ่อน,93,ชื่อสินค้าคือบอดี้สูท/รอมเปอร์ สำหรับเด็กอ่อน
300045,Ralph Lauren Shirt เสื้อเชิ้ตคอปกลายสก็อต,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,90,ชื่อสินค้าคือเสื้อ
300044,Ralph Lauren Shirt เสื้อเชิ้ตคอปกรุ่นยีนส์,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,90,ชื่อสินค้าคือเสื้อ
300043,Plane Body suit ชุดบอดี้สูทรูปเครื่องบิน,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อผ้าเด็กอ่อน,93,ชื่อสินค้าคือบอดี้สูท/รอมเปอร์ สำหรับเด็กอ่อน
300040,Aircraft Body suit 3pieces ชุดบอดี้สูทลายเครื่องบิน 3 ชิ้น,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อสินค้าเป็นชุดหลายชิ้น/เซ็ตเสื้อผ้า
300039,Striped Body suit ชุดบอดี้สูทคอกลมขาสั้นลายขวาง,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อผ้าเด็กอ่อน,93,ชื่อสินค้าคือบอดี้สูท/รอมเปอร์ สำหรับเด็กอ่อน
