SKU,Product Name,Current Category,Recommended Category,Confidence,Reason
1000029,Shirt Set เซตเสื้อกระโปรง ลายดอกไม้,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
1000035,Sun Surf Salt Shirt เสื้อแขนกุดเด็กผู้หญิงเซ็กส์ซี่,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,82,ชื่อเป็นเสื้อแขนกุด
1000044,RUFFLE STRAP TOP เสื้อครอปสายเดี่ยว,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,85,strap top คือเสื้อ
1000049,Fantasia Abelhinha Koala kids ชุดแฟนตาซีผึ้งน้อยสำหรับเบบี้,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดแฟนซี,85,ชุดแฟนตาซีผึ้งน้อย คือชุดสวมบทบาท
1000072,TRACK SUIT ชุดวอร์ม,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,78,track suit คือชุดวอร์มสองชิ้น
100010,DISNEY TIGGER DIE CAST COLLECTOR CAR รถของเล่นหมีพูห์,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > ของเล่น,90,รถของเล่นสะสม
100021,Set Pants 2pieces เซตกางเกงขาสั้น 2ชิ้น,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100025,Sharks Set Body suit and Pants เซตบอดี้สูทและกางเกง 2 ชิ้น ลายฉลาม,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100031,Set Shirt and Pants เซตเสื้อและกางเกง,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100032,Set Shirt and Pants 5pieces เซตเสื้อและกางเกง 5ชิ้น,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100043,Extra Wide Gummi Crib Rail Cover ที่ครอบรางเปล 3 ชิ้น,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > เครื่องนอนและผ้าปู,75,ที่ครอบรางเปล คือผ้า/แผ่นสำหรับเปล
100073,Set LEN Mattress protector and Pillow for cot ผ้ารองกันเปื้อนที่นอนและหมอนเด็กอ่อน,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > เครื่องนอนและผ้าปู,90,ผ้ารองที่นอนและหมอนเปล
100074,Captivating Crab ที่ครอบกล้อง สำหรับถ่ายรูปเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,40,ที่ครอบกล้อง ไม่มีหมวดที่ตรง — คงหมวดปัจจุบัน
100117,Disney Mickey Mouse Baby Boys’ Awesome 2-Piece Sweatsuit Outfit ชุดสเวตสูท 2 ชิ้น สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100124,Animal Puppets Large ตุ๊กตามือสิงโตและกบ,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > ของเล่น,90,ตุ๊กตาหุ่นมือ
100125,Minion Keychain พวงกุญแจมินเนี่ยน,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,40,พวงกุญแจ ไม่ชัดว่าของเล่นหรือเครื่องประดับ — คงหมวดปัจจุบัน
100126,Wolf Headband Ears ที่คาดผมหมาป่า,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เครื่องประดับ,85,ที่คาดผมหูหมาป่า คือเครื่องประดับผม
100128,Christmas Set Shirt and Pants เซตเสื้อและกางเกง ลายคริสต์มาส,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100133,Silky Soft Muslin Swaddle ผ้าห่อตัวมัสลินเนื้อนุ่ม,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > เครื่องนอนและผ้าปู,88,ผ้าห่อตัวมัสลิน คือผ้าใช้กับทารก/เปล
100139,Fuzzy Plush Blanket ผ้าห่มหนานุ่ม,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > เครื่องนอนและผ้าปู,90,ผ้าห่ม
100159,Coollision shirt เสื้อลายดอก,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,82,ชื่อเป็นเสื้อ
100164,Taglet Security Blanket ผ้าห่มรักษาความปลอดภัย,สินค้าและอุปกรณ์สำหรับเด็ก,ของเล่นและเครื่องนอนการตกแต่ง > เครื่องนอนและผ้าปู,85,ผ้าห่ม security blanket
100178,Car Set Shirt and Pants เซตเสื้อและกางเกง ลายรถ,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > ชุดเซ็ต,86,ชื่อเป็นเซ็ตหลายชิ้น (เสื้อ+กางเกง/บอดี้สูทหลายชิ้น)
100188,Winter Vintage plan shirt เสื้อวินเทจ,สินค้าและอุปกรณ์สำหรับเด็ก,เสื้อผ้าและเครื่องประดับ > เสื้อเด็ก,82,ชื่อเป็นเสื้อ
100195,Inside Scoop Suction ถ้วยจานเด็กเล็ก,สินค้าและอุปกรณ์สำหรับเด็ก,เครื่องมือการเลี้ยงดูเด็ก > อุปกรณ์ให้นมและอาหาร,82,ถ้วยจานเด็ก
100197,Nuby no-spill and Nuby anti-finger ขวดน้ำเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,เครื่องมือการเลี้ยงดูเด็ก > อุปกรณ์ให้นมและอาหาร,85,ขวดน้ำเด็กกันหก
1010001,1010001,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010002,1010002,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010003,1010003,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010007,1010007,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010009,1010009,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010011,1010011,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010013,1010013,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010014,1010014,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010016,1010016,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010018,1010018,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010021,1010021,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010023,1010023,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010024,1010024,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1010025,1010025,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1100018,Box for candy Anpanman กล่อง(Anpanman)อเนกประสงค์สหรับใส่ขนม,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,40,กล่องใส่ขนม ไม่มีหมวดที่ตรง — คงหมวดปัจจุบัน
1100019,Freestyle Spare parts kit ชิ้นส่วนอะไหล่สำหรับเครื่องปั๊มนมคุณแม่,สินค้าและอุปกรณ์สำหรับเด็ก,เครื่องมือการเลี้ยงดูเด็ก > อุปกรณ์ให้นมและอาหาร,85,อะไหล่เครื่องปั๊มนม
110002,110002,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
1100020,1100020,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110003,110003,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110005,110005,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110006,110006,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110007,110007,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110009,110009,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110013,110013,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110014,110014,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110015,110015,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110017,110017,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110020,110020,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110023,110023,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110024,110024,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110025,110025,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110026,110026,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110027,110027,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110029,110029,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110032,110032,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110033,110033,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110035,110035,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110038,110038,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110039,110039,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110040,110040,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110041,110041,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110042,110042,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110044,110044,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110045,110045,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110047,110047,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110049,110049,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110050,110050,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
