ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Collections,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Seller,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: condition
,,300058,,Car Body suit 3pieces ชุดบอดี้สูทลายรถ3 ชิ้น,,,,,,,,,,1,1,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300055,,Ralph Lauren Shirt เสื้อยืดคอกลมโปโลสีน้ำเงิน,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300054,,Car&amp;Tree Body suit ชุดบอดี้สูทรถและต้นไม้,,,,,,,,,,1,1,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300053,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีน้ำเงิน,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300051,,Ralph Lauren Shirt เสื้อเชิ้ตโปโลคอปกลายทาง,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300050,,Baby First Favorite Print Footed One-Piece ชุดนอนแขนยาวลายน้องหมี,,,,,,,,,,1,1,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300049,,Car Boys Bodysuit ชุดบอดี้สูทขาสั้นลายรถ,,,,,,,,,,1,1,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300048,,Awesome Mom Collectible Bodysuit ชุดบอดี้สูทขาสั้นลายพิมพ์,,,,,,,,,,1,1,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300047,,2-Way Zip Cotton Sleep &amp; Play ชุดนอนลายน้องหมี,,,,,,,,,,1,1,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300046,,Baby Print Body suit ชุดบอดี้สูทลายหุ่นยนต์,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300045,,Ralph Lauren Shirt เสื้อเชิ้ตคอปกลายสก็อต,,,,,,,,,,1,1,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300044,,Ralph Lauren Shirt เสื้อเชิ้ตคอปกรุ่นยีนส์,,,,,,,,,,1,1,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300043,,Plane Body suit ชุดบอดี้สูทรูปเครื่องบิน,,,,,,,,,,1,1,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300040,,Aircraft Body suit 3pieces ชุดบอดี้สูทลายเครื่องบิน 3 ชิ้น,,,,,,,,,,1,1,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300039,,Striped Body suit ชุดบอดี้สูทคอกลมขาสั้นลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300038,,Let's Snuggle Body suit ชุดบอดี้สูทลายสกรีนSnuggle,,,,,,,,,,1,1,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300036,,Dog Pajamas ชุดนอนคอกลมขายาวลายน้องหมา,,,,,,,,,,1,1,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300035,,Dinosaur Pajamas ชุดนอนคอกลมขายาวลายไดโนเสาร์,,,,,,,,,,1,1,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300034,,Construction Pajamas ชุดนอนคอกลมขายาวลายรถเครน,,,,,,,,,,1,1,,,,,,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300033,,Dinosaur Pajamas ชุดนอนคอกลมขายาวลายไดโนเสาร์,,,,,,,,,,1,1,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300032,,The sky Pajamas ชุดนอนคอกลมขายาวลายท้องฟ้า,,,,,,,,,,1,1,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300030,,Au-Star Pajamas ชุดนอนคอกลมขายาวลายปัก Au-Star,,,,,,,,,,1,1,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300028,,Striped Body suit ชุดบอดี้สูทคอจีนขาสั้นลายทาง,,,,,,,,,,1,1,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300026,,Striped Body suits ชุดบอดี้สูทคอปกลายทางสีน้ำเงิน,,,,,,,,,,1,1,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300025,,Elephants &amp; Star Body suit ชุดบอดี้สูทขาสั้นลายช้างและดวงดาว,,,,,,,,,,1,1,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300024,,Port Pants กางเกงขายาว ลายสมอเรือ,,,,,,,,,,1,1,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300023,,Raccoon Pajamas ชุดนอนคอกลมขายาวลายปักแร็กคูณ,,,,,,,,,,1,1,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
